Step 0 | Loss: 6.101694107055664 | Time: 2.787658214569092 | Tokens/s: 188074.7063108104 | LR: 1.7142857142857142e-05
Step 1 | Loss: 6.337603569030762 | Time: 2.756990909576416 | Tokens/s: 190166.74961781126 | LR: 3.4285714285714284e-05
Step 2 | Loss: 6.1524834632873535 | Time: 2.7572522163391113 | Tokens/s: 190148.7273790692 | LR: 5.142857142857143e-05
Step 3 | Loss: 6.0484185218811035 | Time: 2.762047290802002 | Tokens/s: 189818.61814819436 | LR: 6.857142857142857e-05
Step 4 | Loss: 6.036317825317383 | Time: 2.768617868423462 | Tokens/s: 189368.1341797256 | LR: 8.57142857142857e-05
Step 5 | Loss: 6.042732238769531 | Time: 2.766589879989624 | Tokens/s: 189506.94636458595 | LR: 0.00010285714285714286
Step 6 | Loss: 6.064785957336426 | Time: 2.770191192626953 | Tokens/s: 189260.5829501686 | LR: 0.00011999999999999999
Step 7 | Loss: 6.041139125823975 | Time: 2.7714993953704834 | Tokens/s: 189171.248197193 | LR: 0.00013714285714285713
Step 8 | Loss: 6.032796382904053 | Time: 2.773750066757202 | Tokens/s: 189017.7511966485 | LR: 0.00015428571428571428
Step 9 | Loss: 6.03385066986084 | Time: 2.7731728553771973 | Tokens/s: 189057.09356825802 | LR: 0.0001714285714285714
Step 10 | Loss: 6.079352855682373 | Time: 2.7756667137145996 | Tokens/s: 188887.2310964019 | LR: 0.00018857142857142854
Step 11 | Loss: 6.036974906921387 | Time: 2.7741756439208984 | Tokens/s: 188988.7546049515 | LR: 0.00020571428571428572
Step 12 | Loss: 6.018746376037598 | Time: 2.7757680416107178 | Tokens/s: 188880.33587120884 | LR: 0.00022285714285714283
Step 13 | Loss: 6.057021141052246 | Time: 2.7762258052825928 | Tokens/s: 188849.19195059227 | LR: 0.00023999999999999998
Step 14 | Loss: 6.075925350189209 | Time: 2.776594400405884 | Tokens/s: 188824.12206959695 | LR: 0.0002571428571428571
Step 15 | Loss: 6.02778959274292 | Time: 2.777448892593384 | Tokens/s: 188766.0296461683 | LR: 0.00027428571428571427
Step 16 | Loss: 5.9864583015441895 | Time: 2.777876853942871 | Tokens/s: 188736.9482401045 | LR: 0.0002914285714285714
Step 17 | Loss: 5.979234218597412 | Time: 109.99673557281494 | Tokens/s: 4766.395995933308 | LR: 0.00030857142857142856
Step 18 | Loss: 5.981606483459473 | Time: 2.7493650913238525 | Tokens/s: 190694.20851180918 | LR: 0.0003257142857142857
Step 19 | Loss: 5.967008590698242 | Time: 2.7540946006774902 | Tokens/s: 190366.7360848928 | LR: 0.0003428571428571428
Step 20 | Loss: 5.961906433105469 | Time: 2.7574656009674072 | Tokens/s: 190134.0128471822 | LR: 0.00035999999999999997
Step 21 | Loss: 5.928954124450684 | Time: 2.7586328983306885 | Tokens/s: 190053.5588904412 | LR: 0.0003771428571428571
Step 22 | Loss: 5.984882831573486 | Time: 2.7615904808044434 | Tokens/s: 189850.01709858025 | LR: 0.0003942857142857142
Step 23 | Loss: 5.936938285827637 | Time: 2.762796640396118 | Tokens/s: 189767.13390125948 | LR: 0.00041142857142857143
Step 24 | Loss: 5.956542015075684 | Time: 2.767763137817383 | Tokens/s: 189426.61416231078 | LR: 0.00042857142857142855
Step 25 | Loss: 6.016131401062012 | Time: 2.769995927810669 | Tokens/s: 189273.92446182523 | LR: 0.00044571428571428567
Step 26 | Loss: 5.927587985992432 | Time: 2.771503210067749 | Tokens/s: 189170.98782187008 | LR: 0.00046285714285714284
Step 27 | Loss: 6.037997722625732 | Time: 2.769996166229248 | Tokens/s: 189273.90817067627 | LR: 0.00047999999999999996
Step 28 | Loss: 5.962227821350098 | Time: 2.771994113922119 | Tokens/s: 189137.48675251703 | LR: 0.0004971428571428571
Step 29 | Loss: 6.007275104522705 | Time: 2.7722554206848145 | Tokens/s: 189119.65906463558 | LR: 0.0005142857142857142
Step 30 | Loss: 5.98616361618042 | Time: 2.775528907775879 | Tokens/s: 188896.609410611 | LR: 0.0005314285714285714
Step 31 | Loss: 5.9884161949157715 | Time: 2.7745158672332764 | Tokens/s: 188965.57997443192 | LR: 0.0005485714285714285
Step 32 | Loss: 5.958319664001465 | Time: 2.7762527465820312 | Tokens/s: 188847.35932111167 | LR: 0.0005657142857142857
Step 33 | Loss: 5.956774711608887 | Time: 2.776115655899048 | Tokens/s: 188856.68501812068 | LR: 0.0005828571428571428
Step 34 | Loss: 5.88901948928833 | Time: 2.7756175994873047 | Tokens/s: 188890.5734337624 | LR: 0.0006
Step 35 | Loss: 5.917516708374023 | Time: 2.77884840965271 | Tokens/s: 188670.9610278898 | LR: 0.0005999999999999998
Step 36 | Loss: 5.823105335235596 | Time: 2.7786848545074463 | Tokens/s: 188682.0663198008 | LR: 0.0005999999865822744
Step 37 | Loss: 5.808244705200195 | Time: 2.7777366638183594 | Tokens/s: 188746.47364134877 | LR: 0.000599999946329099
Step 38 | Loss: 5.828049182891846 | Time: 2.777879476547241 | Tokens/s: 188736.77005298392 | LR: 0.0005999998792404781
Step 39 | Loss: 5.843716144561768 | Time: 2.779641628265381 | Tokens/s: 188617.1205196617 | LR: 0.000599999785316418
Step 40 | Loss: 5.8431782722473145 | Time: 2.778921604156494 | Tokens/s: 188665.99159033882 | LR: 0.0005999996645569281
Step 41 | Loss: 5.886931419372559 | Time: 2.780141592025757 | Tokens/s: 188583.20076351805 | LR: 0.0005999995169620204
Step 42 | Loss: 5.865738868713379 | Time: 2.779352903366089 | Tokens/s: 188636.71445430053 | LR: 0.0005999993425317097
Step 43 | Loss: 5.812380790710449 | Time: 2.7804534435272217 | Tokens/s: 188562.04955365116 | LR: 0.0005999991412660134
Step 44 | Loss: 5.701906204223633 | Time: 2.7811670303344727 | Tokens/s: 188513.66864396754 | LR: 0.000599998913164951
Step 45 | Loss: 5.813244819641113 | Time: 2.7820074558258057 | Tokens/s: 188456.71994950544 | LR: 0.0005999986582285459
Step 46 | Loss: 5.797877788543701 | Time: 2.7816598415374756 | Tokens/s: 188480.27072577507 | LR: 0.0005999983764568228
Step 47 | Loss: 5.7882161140441895 | Time: 2.779142379760742 | Tokens/s: 188651.0039277427 | LR: 0.0005999980678498102
Step 48 | Loss: 5.757081985473633 | Time: 2.7808916568756104 | Tokens/s: 188532.33591597326 | LR: 0.0005999977324075384
Step 49 | Loss: 5.7759199142456055 | Time: 2.7836246490478516 | Tokens/s: 188347.23287111806 | LR: 0.0005999973701300411
Step 50 | Loss: 5.770174026489258 | Time: 2.7803800106048584 | Tokens/s: 188567.02968668792 | LR: 0.0005999969810173539
Step 51 | Loss: 5.768576622009277 | Time: 2.7803452014923096 | Tokens/s: 188569.3904910067 | LR: 0.0005999965650695157
Step 52 | Loss: 5.774104118347168 | Time: 2.78057599067688 | Tokens/s: 188553.73913818906 | LR: 0.0005999961222865678
Step 53 | Loss: 5.73551082611084 | Time: 2.782940626144409 | Tokens/s: 188393.52700325783 | LR: 0.0005999956526685543
Step 54 | Loss: 5.773004055023193 | Time: 2.78318452835083 | Tokens/s: 188377.01728338713 | LR: 0.0005999951562155217
Step 55 | Loss: 5.751162052154541 | Time: 2.7819037437438965 | Tokens/s: 188463.74579963405 | LR: 0.0005999946329275196
Step 56 | Loss: 5.698482513427734 | Time: 2.779980421066284 | Tokens/s: 188594.13398275123 | LR: 0.0005999940828045997
Step 57 | Loss: 5.718131065368652 | Time: 2.781904935836792 | Tokens/s: 188463.66503975992 | LR: 0.000599993505846817
Step 58 | Loss: 5.696887969970703 | Time: 2.7830896377563477 | Tokens/s: 188383.44007585288 | LR: 0.0005999929020542283
Step 59 | Loss: 5.706010341644287 | Time: 2.781582832336426 | Tokens/s: 188485.48887527382 | LR: 0.0005999922714268943
Step 60 | Loss: 5.6785430908203125 | Time: 2.7817223072052 | Tokens/s: 188476.03825945978 | LR: 0.0005999916139648774
Step 61 | Loss: 5.753355503082275 | Time: 109.27611017227173 | Tokens/s: 4797.828172813526 | LR: 0.0005999909296682429
Step 62 | Loss: 5.701170444488525 | Time: 2.751751184463501 | Tokens/s: 190528.8541202967 | LR: 0.0005999902185370586
Step 63 | Loss: 5.764611721038818 | Time: 2.7550222873687744 | Tokens/s: 190302.63472050862 | LR: 0.0005999894805713956
Step 64 | Loss: 5.698862552642822 | Time: 2.7584636211395264 | Tokens/s: 190065.22180757116 | LR: 0.0005999887157713271
Step 65 | Loss: 5.67284631729126 | Time: 2.7639083862304688 | Tokens/s: 189690.80256493067 | LR: 0.0005999879241369288
Step 66 | Loss: 5.732034683227539 | Time: 2.766193151473999 | Tokens/s: 189534.12552577065 | LR: 0.0005999871056682799
Step 67 | Loss: 5.675008296966553 | Time: 2.7675435543060303 | Tokens/s: 189441.64372201427 | LR: 0.0005999862603654612
Step 68 | Loss: 5.664523601531982 | Time: 2.769602060317993 | Tokens/s: 189300.8412695229 | LR: 0.0005999853882285573
Step 69 | Loss: 5.673192501068115 | Time: 2.7691993713378906 | Tokens/s: 189328.36885149925 | LR: 0.0005999844892576544
Checkpoint saved at step 70
Step 70 | Loss: 5.694561958312988 | Time: 2.778484344482422 | Tokens/s: 188695.68260880906 | LR: 0.000599983563452842
Step 71 | Loss: 5.7101664543151855 | Time: 2.7686777114868164 | Tokens/s: 189364.04111782677 | LR: 0.0005999826108142123
Step 72 | Loss: 5.620182514190674 | Time: 2.771569013595581 | Tokens/s: 189166.49646037014 | LR: 0.0005999816313418597
Step 73 | Loss: 5.627634525299072 | Time: 2.7758750915527344 | Tokens/s: 188873.05181542962 | LR: 0.0005999806250358817
Step 74 | Loss: 5.676304340362549 | Time: 2.7770798206329346 | Tokens/s: 188791.11651911668 | LR: 0.0005999795918963785
Step 75 | Loss: 5.665709972381592 | Time: 2.7785329818725586 | Tokens/s: 188692.37954723233 | LR: 0.0005999785319234525
Step 76 | Loss: 5.605470180511475 | Time: 2.7755656242370605 | Tokens/s: 188894.11059920976 | LR: 0.000599977445117209
Step 77 | Loss: 5.6685895919799805 | Time: 2.7780344486236572 | Tokens/s: 188726.24141135183 | LR: 0.0005999763314777564
Step 78 | Loss: 5.623872756958008 | Time: 2.779010057449341 | Tokens/s: 188659.98652815504 | LR: 0.0005999751910052049
Step 79 | Loss: 5.61225700378418 | Time: 2.779003620147705 | Tokens/s: 188660.42354134604 | LR: 0.0005999740236996682
Step 80 | Loss: 5.629485130310059 | Time: 2.7770771980285645 | Tokens/s: 188791.2948088695 | LR: 0.0005999728295612622
Step 81 | Loss: 5.633075714111328 | Time: 2.7792530059814453 | Tokens/s: 188643.49480656825 | LR: 0.0005999716085901055
Step 82 | Loss: 5.580661296844482 | Time: 2.779296636581421 | Tokens/s: 188640.53339944404 | LR: 0.0005999703607863197
Step 83 | Loss: 5.5747456550598145 | Time: 2.779210329055786 | Tokens/s: 188646.39157343752 | LR: 0.0005999690861500286
Step 84 | Loss: 5.61720085144043 | Time: 2.77980899810791 | Tokens/s: 188605.76404956565 | LR: 0.000599967784681359
Step 85 | Loss: 5.58600378036499 | Time: 2.7809205055236816 | Tokens/s: 188530.38012363826 | LR: 0.0005999664563804403
Step 86 | Loss: 5.5787353515625 | Time: 2.7821598052978516 | Tokens/s: 188446.40016782607 | LR: 0.0005999651012474042
Step 87 | Loss: 5.565476894378662 | Time: 2.7816357612609863 | Tokens/s: 188481.90237614966 | LR: 0.0005999637192823858
Step 88 | Loss: 5.65661096572876 | Time: 2.77915096282959 | Tokens/s: 188650.42130212195 | LR: 0.0005999623104855222
Step 89 | Loss: 5.611227035522461 | Time: 2.7807419300079346 | Tokens/s: 188542.4872916934 | LR: 0.0005999608748569535
Step 90 | Loss: 5.590227127075195 | Time: 2.781064987182617 | Tokens/s: 188520.58560887305 | LR: 0.0005999594123968224
Step 91 | Loss: 5.587369918823242 | Time: 2.7794337272644043 | Tokens/s: 188631.22903672137 | LR: 0.0005999579231052742
Step 92 | Loss: 5.587409496307373 | Time: 2.7806501388549805 | Tokens/s: 188548.71120747752 | LR: 0.0005999564069824571
Step 93 | Loss: 5.535733699798584 | Time: 2.779857635498047 | Tokens/s: 188602.4641352064 | LR: 0.0005999548640285215
Step 94 | Loss: 5.544899940490723 | Time: 2.7816102504730225 | Tokens/s: 188483.63098706695 | LR: 0.0005999532942436211
Step 95 | Loss: 5.552566051483154 | Time: 2.7811472415924072 | Tokens/s: 188515.00997833087 | LR: 0.0005999516976279116
Step 96 | Loss: 5.546283721923828 | Time: 2.7836599349975586 | Tokens/s: 188344.84536289444 | LR: 0.0005999500741815517
Step 97 | Loss: 5.558406352996826 | Time: 2.7799394130706787 | Tokens/s: 188596.91601007932 | LR: 0.0005999484239047029
Step 98 | Loss: 5.532171726226807 | Time: 2.7812399864196777 | Tokens/s: 188508.7236484479 | LR: 0.0005999467467975293
Step 99 | Loss: 5.541432857513428 | Time: 2.781843662261963 | Tokens/s: 188467.816186943 | LR: 0.0005999450428601975
Step 100 | Loss: 5.560739040374756 | Time: 2.783938407897949 | Tokens/s: 188326.0055296521 | LR: 0.0005999433120928768
Step 101 | Loss: 5.520273685455322 | Time: 2.782758951187134 | Tokens/s: 188405.82644656918 | LR: 0.0005999415544957391
Step 102 | Loss: 5.554220199584961 | Time: 2.78302264213562 | Tokens/s: 188387.97502476475 | LR: 0.0005999397700689594
Step 103 | Loss: 5.49525260925293 | Time: 2.782837152481079 | Tokens/s: 188400.53200114975 | LR: 0.000599937958812715
Step 104 | Loss: 5.518277168273926 | Time: 2.7825939655303955 | Tokens/s: 188416.9974112858 | LR: 0.0005999361207271858
Step 105 | Loss: 5.532475471496582 | Time: 108.43334603309631 | Tokens/s: 4835.117785998926 | LR: 0.0005999342558125544
Step 106 | Loss: 5.535565376281738 | Time: 2.751422882080078 | Tokens/s: 190551.588203569 | LR: 0.0005999323640690061
Step 107 | Loss: 5.496038913726807 | Time: 2.755990743637085 | Tokens/s: 190235.76229726244 | LR: 0.0005999304454967294
Step 108 | Loss: 5.4684553146362305 | Time: 2.7621848583221436 | Tokens/s: 189809.16444472602 | LR: 0.0005999285000959146
Step 109 | Loss: 5.5171799659729 | Time: 2.7650368213653564 | Tokens/s: 189613.38812880986 | LR: 0.0005999265278667551
Step 110 | Loss: 5.535995960235596 | Time: 2.7660462856292725 | Tokens/s: 189544.18901949975 | LR: 0.0005999245288094467
Step 111 | Loss: 5.469803810119629 | Time: 2.769284725189209 | Tokens/s: 189322.5334437861 | LR: 0.0005999225029241888
Step 112 | Loss: 5.5039520263671875 | Time: 2.770211935043335 | Tokens/s: 189259.16583050115 | LR: 0.000599920450211182
Step 113 | Loss: 5.465969085693359 | Time: 2.7950172424316406 | Tokens/s: 187579.52260211247 | LR: 0.0005999183706706305
Step 114 | Loss: 5.432586669921875 | Time: 2.7744176387786865 | Tokens/s: 188972.27031428274 | LR: 0.0005999162643027414
Step 115 | Loss: 5.496570587158203 | Time: 2.773165225982666 | Tokens/s: 189057.61369275048 | LR: 0.0005999141311077236
Step 116 | Loss: 5.404214382171631 | Time: 2.7748429775238037 | Tokens/s: 188943.3039082668 | LR: 0.0005999119710857893
Step 117 | Loss: 5.430594444274902 | Time: 2.7738213539123535 | Tokens/s: 189012.89344409824 | LR: 0.0005999097842371531
